method,episode,step,reward,ttc_min,thw_min,drac_max,risk_score,raw_action,final_action,chosen_source
baseline_highway,0,0,0.9744606559421375,2.6175107858496043,0.6487781622027142,1.2541342056216727,2.3788600110171045,3,3,rl
baseline_highway,0,1,0.9820629023900884,1.8278343375035133,0.5698901254434008,2.348287389413079,3.371097333822676,3,3,rl
baseline_highway,0,2,0.9874022030503776,1.3729240387607649,0.4862021515580046,3.645741878826471,4.572473672736301,3,3,rl
baseline_highway,0,3,0.9911521645566438,1.0489307089580542,0.40199577882097876,5.258239111579223,6.113365934402328,3,3,rl
baseline_highway,0,4,0.9937858823772313,0.8261272329358914,0.31889462990326517,6.809194183962523,7.819649446469668,3,3,rl
baseline_highway,0,5,0.9956356265804422,0.6158349245991831,0.23837282887341277,9.23940403639065,10.538541394352901,3,3,rl
baseline_highway,0,6,0.9969347610551254,0.41143063943719094,0.1593832420162592,13.925024914083565,13.46489160814005,3,3,rl
baseline_highway,0,7,0.9978471847191005,0.2098473317153335,0.08126418422642269,27.40798077040425,18.780369146350957,3,3,rl
baseline_highway,0,8,0.9984880090208222,0.009537875698710344,0.00368664933315036,603.670082902166,24.01500000000155,3,3,rl
baseline_highway,0,9,0.9989380804096858,3.541372755428145,0.11844289252231778,1.24334287323299,7.79769198553139,3,3,rl
baseline_highway,0,10,0.9992541799310825,3.2976572562328825,0.23929571267366653,1.3429825207493657,4.467178987436082,3,3,rl
baseline_highway,0,11,0.9994761867280032,3.0647099172043792,0.3551929331834477,1.4403556566628746,3.4578056122426752,3,3,rl
baseline_highway,0,12,0.9996321091971709,2.837625987186599,0.46673257549941954,1.5376820946602496,3.004060151528694,3,3,rl
baseline_highway,0,13,0.9997416185307977,2.6151668470669813,0.575655985432233,1.6363128652784211,2.76889139441122,3,3,rl
baseline_highway,0,14,0.9998185304358963,2.3983488255295256,0.6627688626687197,1.7384045759819982,2.6820535810565946,3,3,rl
baseline_highway,0,15,0.999872548125074,2.1935031505285694,0.6072478962999452,1.8920254931661897,2.9235261883366404,3,3,rl
baseline_highway,0,16,0.9999104864746747,2.0021775449905146,0.5518640827066852,2.064144046272421,3.2025749344888537,3,3,rl
baseline_highway,0,17,0.9999371317901694,1.8092762332890637,0.4967474763252379,2.2755795046623075,3.543531126379171,3,3,rl
baseline_highway,0,18,0.9999558456468679,1.6155380178391108,0.4418665672382781,2.5389850170729136,3.967881160640955,3,3,rl
baseline_highway,0,19,0.9999689889865521,1.4238286465342156,0.3872265501540939,2.864700348663674,4.509625952973096,3,3,rl
baseline_highway,0,20,0.9999782199740941,1.2318750918919246,0.33293429338605535,3.290584795356802,5.211498022618782,3,3,rl
baseline_highway,0,21,0.9999847031916821,1.038260783968879,0.278978547750359,3.8816709496910287,6.182255729943249,3,3,rl
baseline_highway,0,22,0.999989256562608,0.8431558506643684,0.22533218185388135,4.754199254444292,7.611353906600543,3,3,rl
baseline_highway,0,23,0.9999924545405421,0.643077076403188,0.17197048045046667,6.237407047986959,9.971928966356362,3,3,rl
baseline_highway,0,24,0.9999947005826578,0.43741791534477725,0.11828041607411525,9.272576413537966,14.635777041138208,3,3,rl
baseline_highway,0,25,0.9999962780498227,0.23459486532289328,0.06402407532449529,17.449788225447833,18.285167891831207,3,3,rl
baseline_highway,0,26,0.9999973859554312,0.0338139778249535,0.009297991405112458,121.9783260500514,24.02250000000155,3,3,rl
baseline_highway,0,27,0.9999981640729502,1.303307486392664,0.06334125190575543,3.9477716456417955,11.15844163071571,3,3,rl
baseline_highway,0,28,0.9999987105697538,1.1036246465516135,0.14026153357439597,4.660783398986246,9.428705990190505,3,3,rl
baseline_highway,0,29,0.9999990943919258,0.9040330444588716,0.21779467358165203,5.687381125234826,8.214267343405318,3,3,rl
baseline_highway,0,30,0.9999993639625049,0.7044560166161206,0.24133552937657277,7.294633738698305,9.133702246448294,3,3,rl
baseline_highway,0,31,0.9999995532905384,0.5048210461222744,0.17283287639520828,10.172830837884387,12.632148957791165,3,3,rl
baseline_highway,0,32,0.06278753289136722,0.5589641495237806,0.19132687881327876,8.001512722394171,10.793756858558908,3,3,rl
